Designator,Mid X,Mid Y,Rotation,Layer
BT201,164.724,-105.5,180.0,top
C101,193.8886,-91.0671,90.0,top
C102,211.8,-93.36,270.0,top
C103,199.2426,-91.5966,270.0,top
C201,178.575,-87.685,270.0,top
C202,174.6046,-83.367,0.0,top
C203,171.328,-90.352,180.0,top
C204,185.325,-87.735,270.0,top
C205,169.55,-87.431,270.0,top
C206,176.408,-87.685,270.0,top
C207,203.5386,-79.2346,270.0,top
C208,200.3054,-88.7918,180.0,top
C209,191.5386,-85.4512,90.0,top
C210,193.5886,-87.6846,270.0,top
C211,193.934,-76.4582,0.0,top
C212,205.3386,-79.0846,270.0,top
C301,210.35,-66.06,180.0,top
C302,214.635,-68.7324,270.0,top
C303,212.15,-67.31,0.0,top
C304,210.0925,-73.71,0.0,top
C305,209.95,-67.31,180.0,top
C306,216.667,-73.0504,90.0,top
C307,214.635,-73.0504,90.0,top
C308,218.3434,-70.3072,0.0,top
C309,219.969,-70.866,90.0,top
C310,214.6425,-76.06,270.0,top
C311,209.2485,-76.1725,90.0,top
D201,173.614,-96.384,270.0,top
D202,175.265,-96.384,270.0,top
IC201,181.925,-87.735,0.0,top
J101,187.095,-59.31,180.0,top
J102,196.1438,-97.8958,270.0,top
J103,187.1522,-78.541,0.0,top
J301,223.6266,-61.214,0.0,top
L301,214.635,-70.866,90.0,top
L302,216.159,-70.3072,0.0,top
L303,215.651,-71.9836,90.0,top
R101,180.85,-61.635,270.0,top
R102,193.675,-62.235,270.0,top
R103,211.775,-100.385,270.0,top
R104,201.3254,-97.0698,90.0,top
R105,191.0384,-96.702,270.0,top
R201,173.614,-93.146,90.0,top
R202,171.709,-82.4526,90.0,top
R203,175.138,-93.209,90.0,top
R204,177.043,-84.3322,90.0,top
R205,169.8294,-82.5034,270.0,top
R206,169.169,-84.891,0.0,top
R301,214.3975,-66.71,180.0,top
R302,212.395,-73.5925,180.0,top
SW101,207.0404,-96.321,270.0,top
U101,186.9375,-70.16,90.0,top
U102,197.4886,-82.3846,0.0,top
U201,172.8115,-86.554,0.0,top
U301,211.455,-70.41,90.0,top
VR101,151.84,-79.5842,0.0,top
VR102,226.765,-92.3427,0.0,top
Y101,196.5886,-90.9171,0.0,top
Y301,211.9425,-75.9925,180.0,top
